,mean,std
Oxgr1,0.02,0.12
Htr1a,0.13,0.33
Htr1b,0.12,0.31
Htr1d,0.02,0.12
Htr1f,0.09,0.27
Htr2a,0.1,0.29
Htr2b,0.0,0.04
Htr2c,0.26,0.57
Htr4,0.16,0.35
Htr5a,0.15,0.3
Htr5b,0.02,0.11
Htr6,0.05,0.18
Htr7,0.14,0.34
Adora1,0.66,0.67
Adora2a,0.03,0.19
Adora2b,0.04,0.2
Adora3,0.02,0.14
Adgra1,0.59,0.66
Adgra2,0.11,0.33
Adgra3,0.27,0.43
Adgrb1,1.05,0.79
Adgrb3,1.1,0.79
Adgre1,0.12,0.38
Adgre4,0.0,0.05
Adgrf4,0.02,0.12
Adgrf5,0.3,0.78
Adgrl1,1.09,0.74
Adgrl2,0.76,0.8
Adgrl3,0.7,0.62
Adgrl4,0.29,0.79
Adgrd1,0.01,0.1
Adgrf1,0.01,0.07
Adgrf2,0.06,0.2
ADGRF3,0.0,0.03
Adgrg1,0.62,0.72
Adgrg2,0.07,0.24
Adgrg4,0.01,0.08
Adgrg5,0.0,0.06
Adgrg6,0.05,0.24
Adgrg7,0.0,0.04
Adgrv1,0.02,0.12
Mc2r,0.0,0.03
Adra1a,0.2,0.39
Adra1b,0.07,0.23
Adra1d,0.16,0.38
Adra2a,0.31,0.53
Adra2b,0.01,0.08
Adra2c,0.0,0.05
Aplnr,0.02,0.12
Ackr1,0.67,0.71
Ackr2,0.04,0.16
Ackr3,0.19,0.45
Ackr4,0.0,0.02
Bdkrb1,0.01,0.1
Bdkrb2,0.02,0.14
Adrb1,0.37,0.49
Adrb2,0.08,0.31
Adrb3,0.0,0.03
Brs3,0.01,0.06
Ccr1l1,0.01,0.07
Ccr1,0.01,0.09
Ccr10,0.01,0.06
Ccr2,0.07,0.24
Ccr4,0.0,0.05
Ccr6,0.0,0.04
Ccr7,0.0,0.06
Ccr8,0.0,0.03
Ccr9,0.01,0.08
Ccrl2,0.04,0.21
Cxcr1,0.0,0.06
Cxcr2,0.0,0.05
Cxcr3,0.0,0.06
Cxcr4,0.05,0.24
Cxcr5,0.0,0.04
Cxcr6,0.0,0.07
C3ar1,0.02,0.17
C5ar1,0.02,0.13
C5ar2,0.03,0.16
Celsr1,0.02,0.13
Celsr2,1.08,0.8
Celsr3,0.15,0.3
Calcrl,0.12,0.36
Calcr,0.01,0.07
Cnr1,0.63,0.84
Cnr2,0.01,0.08
Xcr1,0.0,0.05
Cmklr1,0.07,0.28
Cckar,0.01,0.08
Crhr1,0.21,0.41
Crhr2,0.02,0.14
Cx3cr1,0.17,0.63
Cysltr1,0.02,0.12
Cysltr2,0.02,0.14
Drd1,0.12,0.34
Drd5,0.05,0.19
Drd2,0.11,0.39
Drd3,0.01,0.11
Drd4,0.0,0.05
Oprd1,0.08,0.26
Ednrb,0.36,0.67
Ednra,0.06,0.25
Casr,0.02,0.13
Fpr1,0.0,0.06
Fshr,0.01,0.08
Fpr-s1,0.0,0.05
Fpr-rs3,0.0,0.04
Ffar1,0.0,0.03
Ffar3,0.0,0.02
Ffar4,0.01,0.09
Fzd1,0.12,0.3
Fzd10,0.03,0.15
Fzd2,0.19,0.49
Fzd3,0.83,0.69
Fzd4,0.13,0.35
Fzd5,0.04,0.18
Fzd6,0.19,0.49
Fzd7,0.07,0.24
Fzd8,0.12,0.3
Fzd9,0.04,0.19
Gpbar1,0.01,0.1
Gper1,0.06,0.3
Gpr1,0.01,0.09
Gpr135,0.17,0.31
Gpr143,0.0,0.05
Gpr15,0.0,0.05
Gpr157,0.06,0.2
Gpr161,0.25,0.47
Gpr176,0.17,0.36
Gpr182,0.08,0.36
Gpr183,0.03,0.19
Gpr20,0.01,0.08
Gpr22,0.61,0.68
Gpr26,0.35,0.5
Gpr3,0.03,0.13
Gpr37l1,0.74,1.15
Gpr39,0.0,0.05
Gpr4,0.1,0.33
Gpr52,0.33,0.46
Gpr55,0.0,0.05
Gpr6,0.02,0.1
Gpr61,0.28,0.41
Gpr62,0.22,0.56
Gpr84,0.01,0.11
Gpr87,0.0,0.03
Gprc5b,0.84,0.93
Gprc5c,0.08,0.34
Gprc5d,0.01,0.07
Gprc6a,0.0,0.03
Galr1,0.02,0.15
Galr2,0.0,0.03
Gabbr1,2.14,0.74
Gabbr2,1.3,0.95
Gipr,0.06,0.22
Grpr,0.02,0.14
Cckbr,0.25,0.46
Gcgr,0.04,0.17
Glp1r,0.04,0.26
Glp2r,0.07,0.29
Gpr119,0.0,0.04
Gnrhr,0.01,0.1
Ghsr,0.01,0.1
Ghrhr,0.0,0.03
Hrh1,0.13,0.3
Hrh2,0.17,0.34
Hrh3,0.4,0.6
Hrh4,0.0,0.04
Hcar1,0.03,0.22
Hcar2,0.0,0.06
Oprk1,0.09,0.32
Kiss1r,0.09,0.24
Lgr4,0.37,0.48
Lgr5,0.09,0.28
Lgr6,0.03,0.16
Ltb4r,0.0,0.06
Ltb4r2,0.0,0.03
Lhcgr,0.02,0.12
Lpar1,0.24,0.57
Lpar2,0.04,0.15
Lpar3,0.01,0.08
Lpar4,0.04,0.19
Lpar6,0.19,0.46
Mrgpra3,0.0,0.05
Mrgprb1,0.0,0.04
Mrgprb2,0.0,0.05
Mrgprb4,0.0,0.05
Mrgprb5,0.0,0.02
Mrgprb8,0.0,0.03
Mrgprd,0.0,0.03
Mrgpre,0.09,0.25
Mrgprf,0.01,0.12
Mrgprg,0.0,0.01
Mrgprh,0.02,0.11
Mrgprx2,0.0,0.04
Mchr1,0.12,0.28
Mc3r,0.01,0.08
Mc4r,0.08,0.28
Mc5r,0.03,0.15
Opn4,0.0,0.05
Mtnr1a,0.01,0.07
Mtnr1b,0.0,0.05
Gpr50,0.01,0.07
Grm1,0.49,0.65
Grm2,0.26,0.49
Grm3,0.73,0.81
Grm4,0.45,0.64
Grm5,1.16,0.97
Grm6,0.0,0.05
Grm7,0.91,0.83
Oprm1,0.15,0.37
Chrm1,0.67,0.82
Chrm2,0.17,0.42
Chrm3,0.48,0.69
Chrm4,0.21,0.39
Chrm5,0.07,0.28
Gpr18,0.0,0.03
Nmbr,0.04,0.19
Tacr3,0.09,0.32
Nmur2,0.0,0.06
Npffr2,0.01,0.09
Npsr1,0.04,0.21
Npy1r,0.26,0.47
Npy2r,0.1,0.35
Npy4r,0.0,0.05
Npy6r,0.0,0.03
Npbwr1,0.0,0.05
Ntsr1,0.04,0.17
Ntsr2,0.75,1.11
Opn3,0.09,0.25
Opn5,0.0,0.05
Hcrtr1,0.04,0.17
Hcrtr2,0.08,0.28
Oxtr,0.04,0.18
P2ry1,0.11,0.33
P2ry12,0.15,0.56
P2yr13,0.08,0.39
P2ry14,0.08,0.34
P2ry2,0.01,0.1
P2ry4,0.02,0.11
P2ry6,0.04,0.22
Pth2r,0.04,0.2
Pth1r,0.1,0.33
Adcyap1r1,0.96,0.77
Ptafr,0.03,0.17
Ccr3,0.0,0.06
Gpr101,0.07,0.29
Gpr132,0.0,0.07
Gpr139,0.05,0.2
Gpr141,0.0,0.06
Gpr142,0.01,0.06
Gpr146,0.22,0.44
Gpr149,0.02,0.15
Gpr150,0.01,0.07
Gpr151,0.01,0.09
Gpr152,0.01,0.07
Gpr153,0.18,0.37
Gpr156,0.07,0.23
Gpr158,0.69,0.69
Gpr160,0.04,0.19
Gpr162,0.79,0.68
Gpr171,0.0,0.06
Gpr173,0.21,0.35
Gpr174,0.0,0.06
Gpr21,0.31,0.43
Gpr27,0.21,0.36
Gpr33,0.0,0.04
Gpr34,0.07,0.34
Gpr45,0.15,0.3
Gpr63,0.18,0.33
Gpr75,0.28,0.41
Gpr82,0.0,0.04
Gpr83,0.1,0.29
Gpr85,0.53,0.56
Gpr88,0.06,0.21
Prokr1,0.01,0.07
Prokr2,0.04,0.19
Prlhr,0.03,0.14
Gpr37,0.01,0.07
Ptgir,0.01,0.07
Ptgdr,0.03,0.19
Ptgdr2,0.01,0.06
Ptger1,0.01,0.07
Ptger2,0.01,0.07
Ptger3,0.06,0.2
Ptger4,0.01,0.11
Ptgfr,0.03,0.17
F2r,0.11,0.31
F2rl1,0.0,0.06
F2rl2,0.01,0.08
F2rl3,0.01,0.08
Mas1,0.25,0.53
Gpr65,0.01,0.11
P2ry10,0.01,0.07
Qrfpr,0.05,0.22
Rxfp1,0.08,0.31
Rxfp2,0.01,0.11
Rxfp3,0.04,0.21
Rxfp4,0.01,0.08
Gprc5a,0.01,0.07
Rho,0.02,0.13
Sctr,0.01,0.1
Opn1sw,0.01,0.06
Smo,0.15,0.37
Sstr1,0.22,0.42
Sstr2,0.17,0.4
Sstr3,0.15,0.32
Sstr4,0.37,0.61
Sstr5,0.0,0.06
S1pr1,0.58,0.9
S1pr2,0.04,0.17
S1pr3,0.08,0.32
S1pr4,0.01,0.11
S1pr5,0.17,0.5
Tacr2,0.0,0.03
Tacr1,0.08,0.28
Sucnr1,0.0,0.06
Tas1r1,0.01,0.08
Tas1r2,0.0,0.05
Tas1r3,0.02,0.12
Tas2r135,0.04,0.17
Tas2r7,0.0,0.05
Tbxa2r,0.03,0.2
Tshr,0.01,0.09
Trhr,0.13,0.4
Taar1,0.0,0.02
Taar2,0.01,0.07
Taar3,0.02,0.11
Taar4,0.0,0.03
Taar6,0.0,0.05
Taar7a,0.0,0.04
Taar7b,0.0,0.04
Taar7d,0.0,0.05
Taar7e,0.0,0.05
Taar7f,0.01,0.09
Taar8a,0.0,0.03
Taar8b,0.0,0.02
Taar8c,0.0,0.05
Taar9,0.01,0.06
Agtr1a,0.04,0.19
Agtr1b,0.0,0.06
Agtr2,0.04,0.17
Gpr17,0.13,0.54
Uts2r,0.01,0.1
Vipr1,0.05,0.18
Vipr2,0.03,0.17
Avpr1a,0.01,0.06
Avpr1b,0.0,0.04
Avpr2,0.0,0.04
Rrh,0.02,0.1
Vmn1r40,0.01,0.08
Vmn1r42,0.0,0.05
Vmn1r43,0.04,0.16
Vmn1r44,0.01,0.06
Vmn1r45,0.01,0.07
Vmn1r46,0.01,0.07
Vmn1r47,0.0,0.04
Vmn1r49,0.0,0.04
Vmn1r50,0.0,0.04
Vmn1r51,0.0,0.04
Vmn1r52,0.0,0.02
Vmn1r53,0.0,0.02
Vmn1r54,0.0,0.04
V1ra8,0.02,0.12
Vmn2r1,0.04,0.17
Vmn2r26,0.0,0.02
Gramd3,0.28,0.53
Plxnb3,0.19,0.51
Tjap1,0.49,0.58
Cspg5,1.56,0.98
Mki67,0.01,0.11
Cenpe,0.03,0.14
Man1a,0.36,0.57
Sema4d,0.56,0.71
Tmem108,0.32,0.5
Traf4,0.17,0.42
Gjc3,0.58,1.18
Sox8,0.47,0.71
Aldh1l1,0.41,0.67
Olig1,0.52,0.96
Pcdh15,0.34,0.59
Gad1,0.64,1.22
Syt4,1.2,1.05
Baiap2,0.83,0.86
Amigo2,0.18,0.41
Slc17a6,0.36,0.75
Slc17a7,1.5,1.62
Slc17a8,0.01,0.14
Aqp4,0.44,0.84
Mlc1,0.28,0.53
Slc15a3,0.05,0.26
Selplg,0.17,0.65
Slco1a4,0.29,0.82
Fn1,0.35,0.83
Cldn5,0.36,0.97
Emcn,0.14,0.45
Myh11,0.08,0.44
Lmod1,0.04,0.27
Atp13a5,0.15,0.55
Kcnj8,0.09,0.36
Abcc9,0.09,0.42
Cd300c2,0.05,0.26
C1qa,0.21,0.66
C1qb,0.25,0.73
Cxcl12,0.42,0.77
Arhgap29,0.41,0.71
Sox9,0.3,0.57
Slc25a18,0.38,0.65
Dlk1,0.2,0.58
Peg10,0.24,0.49
Dgkk,0.04,0.21
Chat,0.0,0.07
Grin2b,0.92,0.86
Cx3cl1,1.5,1.07
Igfbpl1,0.02,0.17
Eomes,0.01,0.09
Ascl1,0.03,0.14
Slc32a1,0.27,0.64
Th,0.05,0.39
Top2a,0.01,0.11
Acte1,0.0,0.03
Ppp1r3g,0.03,0.17
Gfap,0.5,0.95
Timp4,0.27,0.52
Anxa11,0.29,0.48
Cldn19,0.0,0.05
Rspo3,0.21,0.43
Slc47a1,0.02,0.22
Pln,0.04,0.26
Foxd3,0.0,0.03
Alk,0.18,0.42
Axl,0.3,0.57
Csf1r,0.16,0.57
Ddr1,0.52,0.72
Ddr2,0.09,0.33
Efemp1,0.16,0.46
Egfr,0.15,0.4
Epha1,0.13,0.3
Epha2,0.04,0.19
Epha3,0.17,0.37
Epha4,1.07,0.94
Epha5,0.29,0.44
Epha6,0.71,0.8
Epha7,0.61,0.71
Epha8,0.03,0.14
Epha10,0.29,0.47
Ephb1,0.48,0.67
Ephb2,0.31,0.45
Ephb3,0.2,0.38
Ephb6,0.68,0.7
Erbb2,0.09,0.29
Erbb3,0.23,0.64
Erbb4,0.51,0.82
Fgfr2,0.44,0.78
Fgfr3,0.63,0.99
Fgfr4,0.0,0.06
Fgfrl1,0.13,0.33
Flt1,0.37,0.93
Flt3,0.19,0.4
Flt4,0.07,0.29
Igf1r,1.05,0.73
Insr,0.83,0.6
Insrr,0.01,0.11
Kdr,0.21,0.57
Kit,0.33,0.67
Lmtk2,1.15,0.83
Mertk,0.6,0.93
Met,0.15,0.38
Musk,0.02,0.15
Nrp1,0.61,0.71
Nrp2,0.25,0.46
Ntrk1,0.01,0.13
Ntrk2,1.01,0.87
Ntrk3,1.13,0.9
Pdgfra,0.2,0.62
Pdgfrb,0.24,0.62
Ptk7,0.17,0.35
Ret,0.13,0.41
Ror1,0.07,0.26
Ror2,0.05,0.2
Ros1,0.0,0.05
Ryk,0.79,0.58
Tek,0.17,0.51
Tie1,0.13,0.41
Tyro3,0.84,0.83
Blank-0,0.0,0.03
Blank-1,0.0,0.04
Blank-2,0.0,0.02
Blank-3,0.0,0.04
Blank-4,0.0,0.05
Blank-5,0.0,0.03
Blank-6,0.0,0.02
Blank-7,0.02,0.1
Blank-8,0.01,0.06
Blank-9,0.01,0.09
Blank-10,0.0,0.02
Blank-11,0.0,0.04
Blank-12,0.0,0.03
Blank-13,0.0,0.04
Blank-14,0.0,0.05
Blank-15,0.0,0.04
Blank-16,0.0,0.03
Blank-17,0.0,0.05
Blank-18,0.0,0.03
Blank-19,0.0,0.04
Blank-20,0.0,0.04
Blank-21,0.01,0.07
Blank-22,0.0,0.04
Blank-23,0.01,0.07
Blank-24,0.01,0.09
Blank-25,0.0,0.04
Blank-26,0.0,0.03
Blank-27,0.0,0.02
Blank-28,0.0,0.04
Blank-29,0.0,0.02
Blank-30,0.0,0.03
Blank-31,0.0,0.05
Blank-32,0.0,0.04
Blank-33,0.0,0.03
Blank-34,0.0,0.03
Blank-35,0.0,0.03
Blank-36,0.0,0.05
Blank-37,0.01,0.08
Blank-38,0.0,0.05
Blank-39,0.0,0.04
Blank-40,0.01,0.06
Blank-41,0.0,0.04
Blank-42,0.0,0.05
Blank-43,0.0,0.03
Blank-44,0.0,0.03
Blank-45,0.0,0.04
Blank-46,0.0,0.03
Blank-47,0.0,0.06
Blank-48,0.0,0.02
Blank-49,0.0,0.03
Blank-50,0.0,0.03
Blank-51,0.0,0.05
Blank-52,0.0,0.04
Blank-53,0.01,0.08
Blank-54,0.0,0.04
Blank-55,0.0,0.02
Blank-56,0.0,0.03
Blank-57,0.01,0.09
Blank-58,0.0,0.05
Blank-59,0.0,0.05
Blank-60,0.0,0.02
Blank-61,0.0,0.04
Blank-62,0.0,0.04
Blank-63,0.0,0.02
Blank-64,0.0,0.02
Blank-65,0.0,0.04
Blank-66,0.0,0.02
Blank-67,0.0,0.02
Blank-68,0.0,0.04
Blank-69,0.01,0.09
Blank-70,0.0,0.03
Blank-71,0.0,0.03
Blank-72,0.0,0.03
Blank-73,0.0,0.05
Blank-74,0.0,0.05
Blank-75,0.01,0.08
Blank-76,0.0,0.04
Blank-77,0.0,0.04
Blank-78,0.0,0.02
Blank-79,0.0,0.02
Blank-80,0.01,0.08
Blank-81,0.0,0.04
Blank-82,0.01,0.07
Blank-83,0.01,0.09
Blank-84,0.0,0.03
Blank-85,0.0,0.03
Blank-86,0.0,0.03
Blank-87,0.0,0.04
Blank-88,0.0,0.02
Blank-89,0.01,0.08
Blank-90,0.0,0.02
Blank-91,0.01,0.1
Blank-92,0.0,0.02
Blank-93,0.0,0.03
Blank-94,0.0,0.04
Blank-95,0.01,0.09
Blank-96,0.0,0.02
Blank-97,0.0,0.03
Blank-98,0.01,0.08
Blank-99,0.0,0.05
Blank-100,0.0,0.03
Blank-101,0.0,0.03
Blank-102,0.0,0.02
Blank-103,0.0,0.04
Blank-104,0.0,0.05
Blank-105,0.0,0.04
Blank-106,0.0,0.03
Blank-107,0.0,0.04
Blank-108,0.01,0.06
Blank-109,0.02,0.13
Blank-110,0.0,0.05
Blank-111,0.0,0.04
Blank-112,0.01,0.06
Blank-113,0.0,0.03
Blank-114,0.01,0.06
Blank-115,0.02,0.1
Blank-116,0.0,0.03
Blank-117,0.01,0.07
Blank-118,0.0,0.02
Blank-119,0.0,0.02
Blank-120,0.0,0.02
Blank-121,0.0,0.04
Blank-122,0.0,0.04
Blank-123,0.0,0.04
Blank-124,0.01,0.06
Blank-125,0.0,0.04
Blank-126,0.0,0.05
Blank-127,0.0,0.05
Blank-128,0.0,0.03
Blank-129,0.0,0.03
Blank-130,0.0,0.02
Blank-131,0.0,0.03
Blank-132,0.0,0.03
Blank-133,0.01,0.1
Blank-134,0.01,0.06
Blank-135,0.0,0.02
Blank-136,0.0,0.02
Blank-137,0.0,0.02
Blank-138,0.0,0.02
Blank-139,0.01,0.06
Blank-140,0.0,0.03
Blank-141,0.0,0.03
Blank-142,0.03,0.15
Blank-143,0.0,0.03
Blank-144,0.0,0.03
Blank-145,0.01,0.06
Blank-146,0.0,0.03
Blank-147,0.0,0.05
Blank-148,0.0,0.06
Blank-149,0.0,0.04
Blank-150,0.03,0.14
Blank-151,0.0,0.04
Blank-152,0.01,0.07
Blank-153,0.0,0.03
Blank-154,0.01,0.06
Blank-155,0.04,0.15
Blank-156,0.0,0.05
Blank-157,0.0,0.04
Blank-158,0.0,0.04
Blank-159,0.0,0.05
Blank-160,0.0,0.04
Blank-161,0.01,0.06
Blank-162,0.0,0.02
Blank-163,0.01,0.1
Blank-164,0.0,0.03
Blank-165,0.0,0.01
